itr_num, Layer_Name, Process_Name, Log_Prompt,11,Physical Layer,ReadSensor,Sensor read has been done,1
1,Cloud Layer,SendTriggerToActuator,Trigger actuator has been sent to Edge layer,1
1,Edge Layer,SendTriggerToActuator,Trigger actuator has been sent to physical layer,1
1,Physical Layer,TriggerActuatorToActivate,Activate Trigger,2
2,Physical Layer,ReadSensor,Sensor read has been done,2
2,Edge Layer,CollectSensorData,Sensor Data has been collected,2
o Edge,2
2,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,2
2,Physical Layer,ReadSensor,Sensor read has been done,2
2,Edge Layer,CollectSensorData,Sensor Data has been collected,2
o Edge,2
2,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,2
2,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,2
2,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,2
2,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,2
2,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,2
2,Cloud Layer,ExecuteMLModel,MLModel has been executed,2
2,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,2
2,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,2
2,Edge Layer,SendTriggerToActuator,Trigger actuator has been sent to physical layer,2,Physical Layer,TriggerActuatorToActivate,Activate Trigger,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
o Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
o Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
